STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
      19207;2023070800;    3;   12.5;  90.0;eor
      19207;2023070806;    3;   17.4;  69.0;eor
      19207;2023070812;    3;   26.7;  33.0;eor
      19207;2023070818;    3;   24.6;  39.0;eor
      19207;2023070900;    3;   13.5;  78.0;eor
      19207;2023070906;    3;   18.2;  67.0;eor
      19207;2023070912;    3;   29.0;  29.0;eor
      19207;2023070918;    3;   28.6;  33.0;eor
      19207;2023071000;    3;   19.5;  65.0;eor
      19207;2023071006;    3;   19.3;  72.0;eor
      19207;2023071012;    3;   20.9;  86.0;eor
      19207;2023071018;    3;   22.9;  49.0;eor
      19207;2023071100;    3;   13.7;  91.0;eor
      19207;2023071106;    3;   17.6;  76.0;eor
      19207;2023071112;    3;   27.4;  35.0;eor
      19207;2023071118;    3;   27.8;  42.0;eor
      19207;2023071200;    3;   20.9;  61.0;eor
      19207;2023071206;    3;   18.2;  93.0;eor
      19207;2023071212;    3;   24.1;  53.0;eor
      19207;2023071218;    3;   20.4;  63.0;eor
      19207;2023071300;    3;   16.2;  85.0;eor
      19207;2023071306;    3;   18.2;  75.0;eor
      19207;2023071312;    3;   22.7;  50.0;eor
      19207;2023071318;    3;   18.3;  76.0;eor
      19207;2023071400;    3;   13.5;  92.0;eor
      19207;2023071406;    3;   14.7;  88.0;eor
      19207;2023071412;    3;   23.0;  47.0;eor
      19207;2023071418;    3;   23.3;  48.0;eor
      19207;2023071500;    3;   18.9;  66.0;eor
      19207;2023071506;    3;   21.3;  57.0;eor
      19207;2023071512;    3;   31.7;  32.0;eor
      19207;2023071518;    3;   24.6;  64.0;eor
      19207;2023071600;    3;   21.4;  77.0;eor
      19207;2023071606;    3;   18.5;  86.0;eor
      19207;2023071612;    3;   25.8;  39.0;eor
      19207;2023071618;    3;   23.4;  44.0;eor
      19207;2023071700;    3;   14.8;  89.0;eor
      19207;2023071706;    3;   16.5;  80.0;eor
      19207;2023071712;    3;   22.8;  46.0;eor
      19207;2023071718;    3;   16.7;  60.0;eor
      19207;2023071800;    3;   12.3;  92.0;eor
      19207;2023071806;    3;   15.7;  81.0;eor
      19207;2023071812;    3;   22.6;  43.0;eor
      19207;2023071818;    3;   20.5;  52.0;eor
      19207;2023071900;    3;   15.8;  79.0;eor
      19207;2023071906;    3;   15.1;  90.0;eor
      19207;2023071912;    3;   14.6;  80.0;eor
      19207;2023071918;    3;   17.6;  66.0;eor
      19207;2023072000;    3;   12.2;  95.0;eor
      19207;2023072006;    3;   15.1;  84.0;eor
      19207;2023072012;    3;   18.0;  58.0;eor
      19207;2023072018;    3;   17.1;  62.0;eor
      19207;2023072100;    3;   11.0;  91.0;eor
      19207;2023072106;    3;   14.6;  81.0;eor
      19207;2023072112;    3;   19.3;  58.0;eor
      19207;2023072118;    3;   19.1;  53.0;eor
      19207;2023072200;    3;   13.0;  96.0;eor
      19207;2023072206;    3;   13.6;  89.0;eor
      19207;2023072212;    3;   15.6;  69.0;eor
      19207;2023072218;    3;   16.5;  74.0;eor
      19207;2023072300;    3;   13.8;  94.0;eor
      19207;2023072306;    3;   14.7;  91.0;eor
      19207;2023072312;    3;   17.7;  89.0;eor
      19207;2023072318;    3;   19.0;  76.0;eor
      19207;2023072400;    3;   17.3;  81.0;eor
      19207;2023072406;    3;   18.9;  82.0;eor
      19207;2023072412;    3;   20.0;  87.0;eor
      19207;2023072418;    3;   20.3;  80.0;eor
      19207;2023072500;    3;   15.4;  93.0;eor
      19207;2023072506;    3;   15.0;  83.0;eor
      19207;2023072512;    3;   17.1;  68.0;eor
      19207;2023072518;    3;   18.1;  60.0;eor
      19207;2023072600;    3;   10.1;  91.0;eor
      19207;2023072606;    3;   13.5;  84.0;eor
      19207;2023072612;    3;   15.4;  69.0;eor
      19207;2023072618;    3;   15.5;  73.0;eor
      19207;2023072700;    3;   13.1;  88.0;eor
      19207;2023072706;    3;   14.9;  80.0;eor
      19207;2023072712;    3;   17.1;  74.0;eor
      19207;2023072718;    3;   17.2;  76.0;eor
      19207;2023072800;    3;   15.3;  97.0;eor
      19207;2023072806;    3;   15.9;  93.0;eor
      19207;2023072812;    3;   19.7;  71.0;eor
      19207;2023072818;    3;   21.5;  61.0;eor
      19207;2023072900;    3;   14.4;  96.0;eor
      19207;2023072906;    3;   18.9;  87.0;eor
      19207;2023072912;    3;   22.9;  70.0;eor
      19207;2023072918;    3;   19.4;  84.0;eor
      19207;2023073000;    3;   15.5;  96.0;eor
      19207;2023073006;    3;   16.3;  93.0;eor
      19207;2023073012;    3;   23.1;  57.0;eor
      19207;2023073018;    3;   18.2;  65.0;eor
      19207;2023073100;    3;   12.9;  92.0;eor
      19207;2023073106;    3;   15.7;  86.0;eor
      19207;2023073112;    3;   16.1;  95.0;eor
      19207;2023073118;    3;   14.9;  98.0;eor
      19207;2023080100;    3;   16.3;  97.0;eor
      19207;2023080106;    3;   16.4;  95.0;eor
      19207;2023080112;    3;   20.9;  68.0;eor
      19207;2023080118;    3;   17.5;  82.0;eor
      19207;2023080200;    3;   15.0;  91.0;eor
      19207;2023080206;    3;   14.9;  94.0;eor
      19207;2023080212;    3;   20.2;  60.0;eor
      19207;2023080218;    3;   16.6;  97.0;eor
      19207;2023080300;    3;   16.0;  95.0;eor
      19207;2023080306;    3;   16.9;  88.0;eor
      19207;2023080312;    3;   19.8;  82.0;eor
      19207;2023080318;    3;   18.8;  83.0;eor
      19207;2023080400;    3;   16.5;  94.0;eor
      19207;2023080406;    3;   16.0;  94.0;eor
      19207;2023080412;    3;   20.4;  62.0;eor
      19207;2023080418;    3;   19.1;  68.0;eor
      19207;2023080500;    3;   15.5;  87.0;eor
      19207;2023080506;    3;   14.1;  85.0;eor
      19207;2023080512;    3;   19.7;  55.0;eor
      19207;2023080518;    3;   20.6;  52.0;eor
      19207;2023080600;    3;   15.1;  83.0;eor
      19207;2023080606;    3;   14.7;  83.0;eor
      19207;2023080612;    3;   18.7;  67.0;eor
      19207;2023080618;    3;   15.1;  77.0;eor
      19207;2023080700;    3;   13.9;  96.0;eor
      19207;2023080706;    3;   14.0;  86.0;eor
      19207;2023080712;    3;   18.0;  58.0;eor
      19207;2023080718;    3;   16.0;  58.0;eor
      19207;2023080800;    3;   13.4;  79.0;eor
      19207;2023080806;    3;   13.9;  80.0;eor
      19207;2023080812;    3;   19.0;  57.0;eor
      19207;2023080818;    3;   13.5;  78.0;eor
      19207;2023080900;    3;   12.0;  83.0;eor
      19207;2023080906;    3;   12.5;  83.0;eor
      19207;2023080912;    3;   18.1;  58.0;eor
      19207;2023080918;    3;   15.2;  82.0;eor
      19207;2023081000;    3;   10.2;  92.0;eor
      19207;2023081006;    3;   12.4;  88.0;eor
      19207;2023081012;    3;   17.6;  58.0;eor
      19207;2023081018;    3;   17.8;  55.0;eor
      19207;2023081100;    3;   10.2;  97.0;eor
      19207;2023081106;    3;   13.7;  76.0;eor
      19207;2023081112;    3;   20.7;  64.0;eor
      19207;2023081118;    3;   22.8;  60.0;eor
      19207;2023081200;    3;   16.1;  88.0;eor
      19207;2023081206;    3;   18.7;  79.0;eor
      19207;2023081212;    3;   25.6;  57.0;eor
      19207;2023081218;    3;   22.5;  81.0;eor
      19207;2023081300;    3;   16.3;  94.0;eor
      19207;2023081306;    3;   16.8;  90.0;eor
      19207;2023081312;    3;   24.7;  52.0;eor
      19207;2023081318;    3;   23.3;  61.0;eor
      19207;2023081400;    3;   16.5;  94.0;eor
      19207;2023081406;    3;   17.8;  92.0;eor
      19207;2023081412;    3;   25.7;  47.0;eor
      19207;2023081418;    3;   25.5;  60.0;eor
      19207;2023081500;    3;   20.4;  81.0;eor
      19207;2023081506;    3;   21.5;  79.0;eor
      19207;2023081512;    3;   26.6;  64.0;eor
      19207;2023081518;    3;   22.7;  74.0;eor
      19207;2023081600;    3;   18.7;  95.0;eor
      19207;2023081606;    3;   17.9;  86.0;eor
      19207;2023081612;    3;   23.6;  56.0;eor
